status	path	coverage
D	apps/chat/app/(chat)/actions.ts	outside targeted audit / not deeply reviewed
A	apps/chat/app/(chat)/agent/page.tsx	outside targeted audit / not deeply reviewed
D	apps/chat/app/(chat)/api/chat/[id]/stream/route.ts	outside targeted audit / not deeply reviewed
D	apps/chat/app/(chat)/api/chat/add-explicit-tool-request-to-messages.ts	outside targeted audit / not deeply reviewed
D	apps/chat/app/(chat)/api/chat/filter-reasoning-parts.ts	outside targeted audit / not deeply reviewed
D	apps/chat/app/(chat)/api/chat/get-recent-generated-image.ts	outside targeted audit / not deeply reviewed
D	apps/chat/app/(chat)/api/chat/get-thread-up-to-message-id.ts	outside targeted audit / not deeply reviewed
D	apps/chat/app/(chat)/api/chat/route.ts	outside targeted audit / not deeply reviewed
A	apps/chat/app/(chat)/api/files/content/route.test.ts	outside targeted audit / not deeply reviewed
M	apps/chat/app/(chat)/api/files/content/route.ts	outside targeted audit / not deeply reviewed
A	apps/chat/app/(chat)/api/files/upload/route.test.ts	outside targeted audit / not deeply reviewed
M	apps/chat/app/(chat)/api/files/upload/route.ts	outside targeted audit / not deeply reviewed
D	apps/chat/app/(chat)/chat-providers.tsx	cataloged
D	apps/chat/app/(chat)/chat-route-host.tsx	cataloged
M	apps/chat/app/(chat)/chat/[id]/page.tsx	cataloged
M	apps/chat/app/(chat)/layout.tsx	cataloged
M	apps/chat/app/(chat)/page.tsx	cataloged
M	apps/chat/app/(chat)/project/[projectId]/chat/[chatId]/page.tsx	cataloged
M	apps/chat/app/(chat)/project/[projectId]/page.tsx	cataloged
M	apps/chat/app/(chat)/share/[id]/page.tsx	cataloged
D	apps/chat/app/(chat)/share/[id]/shared-chat-page.tsx	cataloged
M	apps/chat/components/ai-elements/code-block.tsx	outside targeted audit / not deeply reviewed
M	apps/chat/components/ai-elements/context.tsx	outside targeted audit / not deeply reviewed
D	apps/chat/components/ai-elements/extra/conversation-content-scroll-area.tsx	outside targeted audit / not deeply reviewed
M	apps/chat/components/ai-elements/message.tsx	outside targeted audit / not deeply reviewed
M	apps/chat/components/ai-elements/prompt-input.tsx	outside targeted audit / not deeply reviewed
M	apps/chat/components/ai-elements/reasoning.tsx	outside targeted audit / not deeply reviewed
M	apps/chat/components/ai-elements/shimmer.tsx	outside targeted audit / not deeply reviewed
M	apps/chat/components/ai-elements/tool.tsx	outside targeted audit / not deeply reviewed
D	apps/chat/components/anonymous-session-init.tsx	outside targeted audit / not deeply reviewed
D	apps/chat/components/app-sidebar-history-conditional.tsx	cataloged
M	apps/chat/components/app-sidebar.tsx	cataloged
D	apps/chat/components/artifact-actions.tsx	cataloged
D	apps/chat/components/artifact-panel.tsx	cataloged
D	apps/chat/components/assistant-message.tsx	outside targeted audit / not deeply reviewed
M	apps/chat/components/attachment-card.tsx	outside targeted audit / not deeply reviewed
M	apps/chat/components/attachment-list.tsx	outside targeted audit / not deeply reviewed
A	apps/chat/components/attachments-button.tsx	outside targeted audit / not deeply reviewed
M	apps/chat/components/auth-providers.tsx	outside targeted audit / not deeply reviewed
D	apps/chat/components/chat-composer.tsx	cataloged
A	apps/chat/components/chat-header-view.tsx	cataloged
D	apps/chat/components/chat-header.tsx	cataloged
M	apps/chat/components/chat-menu-items.tsx	cataloged
M	apps/chat/components/chat-rename-dialog.tsx	cataloged
D	apps/chat/components/chat-runtime-controller.tsx	outside targeted audit / not deeply reviewed
D	apps/chat/components/chat-sync.tsx	outside targeted audit / not deeply reviewed
D	apps/chat/components/chat-system.tsx	outside targeted audit / not deeply reviewed
D	apps/chat/components/chat.tsx	outside targeted audit / not deeply reviewed
D	apps/chat/components/chat/chat-content.tsx	outside targeted audit / not deeply reviewed
A	apps/chat/components/chat/chat-welcome-view.tsx	outside targeted audit / not deeply reviewed
D	apps/chat/components/chat/chat-welcome.tsx	outside targeted audit / not deeply reviewed
D	apps/chat/components/chat/main-chat-panel.tsx	outside targeted audit / not deeply reviewed
D	apps/chat/components/chat/secondary-chat-panel.tsx	cataloged
D	apps/chat/components/chat/use-chat-votes.ts	outside targeted audit / not deeply reviewed
A	apps/chat/components/clone-chat-button-view.tsx	outside targeted audit / not deeply reviewed
D	apps/chat/components/clone-chat-button.tsx	outside targeted audit / not deeply reviewed
M	apps/chat/components/code-editor.tsx	cataloged
M	apps/chat/components/connectors-dropdown.tsx	outside targeted audit / not deeply reviewed
D	apps/chat/components/console.tsx	cataloged
M	apps/chat/components/context-bar.tsx	outside targeted audit / not deeply reviewed
D	apps/chat/components/context-usage.tsx	outside targeted audit / not deeply reviewed
A	apps/chat/components/controlled-chat-composer.tsx	cataloged
D	apps/chat/components/create-artifact.tsx	cataloged
D	apps/chat/components/data-stream-handler.tsx	outside targeted audit / not deeply reviewed
M	apps/chat/components/deep-research-progress.tsx	outside targeted audit / not deeply reviewed
D	apps/chat/components/delete-chat-dialog.tsx	cataloged
M	apps/chat/components/delete-project-dialog.tsx	cataloged
M	apps/chat/components/diffview.tsx	cataloged
A	apps/chat/components/eve/eve-artifact-layout.tsx	cataloged
A	apps/chat/components/eve/eve-attachment.tsx	outside targeted audit / not deeply reviewed
A	apps/chat/components/eve/eve-chat-page.tsx	cataloged
A	apps/chat/components/eve/eve-composer.tsx	cataloged
A	apps/chat/components/eve/eve-conversation.tsx	cataloged
A	apps/chat/components/eve/eve-copy-button.tsx	outside targeted audit / not deeply reviewed
A	apps/chat/components/eve/eve-creation-recovery.tsx	cataloged
A	apps/chat/components/eve/eve-delete-dialog.tsx	cataloged
A	apps/chat/components/eve/eve-deletion-provider.tsx	cataloged
A	apps/chat/components/eve/eve-document-actions.tsx	cataloged
A	apps/chat/components/eve/eve-document-assistant-actions.tsx	cataloged
A	apps/chat/components/eve/eve-document-comparison.tsx	cataloged
A	apps/chat/components/eve/eve-document-run.tsx	cataloged
A	apps/chat/components/eve/eve-document-tool.tsx	cataloged
A	apps/chat/components/eve/eve-feedback-actions.tsx	outside targeted audit / not deeply reviewed
A	apps/chat/components/eve/eve-fork-recovery.tsx	outside targeted audit / not deeply reviewed
A	apps/chat/components/eve/eve-guest-bootstrap.tsx	outside targeted audit / not deeply reviewed
A	apps/chat/components/eve/eve-history-list.tsx	cataloged
